"gene","waldStat_BA","pvalue_BA","padj_BA","fcMedian_BA","waldStat_AB","pvalue_AB","padj_AB","fcMedian_AB","max_padj","mean_waldStat","mean_fcMedian","both_positive_fc","both_negative_fc","consistent_direction"
"HSPB7",576.538690697788,0,0,1.3501686312632,482.594186239064,0,0,1.31003984965162,0,529.566438468426,1.33010424045741,TRUE,FALSE,TRUE
"ID1",154.321485320119,0,0,1.03230784491018,180.105546343705,0,0,0.883806181141911,0,167.213515831912,0.958057013026046,TRUE,FALSE,TRUE
"ID3",102.888674669078,0,0,1.00809129526053,99.3246351978356,0,0,0.906025162143687,0,101.106654933457,0.957058228702111,TRUE,FALSE,TRUE
"IGFBP4",465.796865363401,0,0,0.71531749316341,437.522091559398,0,0,0.750868598945814,0,451.6594784614,0.733093046054612,TRUE,FALSE,TRUE
"IGFBP5",631.351988885054,0,0,1.67701924294697,647.414620873552,0,0,1.7699293875883,0,639.383304879303,1.72347431526763,TRUE,FALSE,TRUE
"IL1RN",178.945721120643,0,0,3.70076606517521,155.935391275402,0,0,3.7181844364079,0,167.440556198023,3.70947525079155,TRUE,FALSE,TRUE
"IL33",95.5322954783957,0,0,2.18912967795218,93.6385317381423,0,0,1.96633399515673,0,94.585413608269,2.07773183655446,TRUE,FALSE,TRUE
"IRAK1",165.339557759234,0,0,1.05721214515463,168.118004326583,0,0,1.00729102546397,0,166.728781042909,1.0322515853093,TRUE,FALSE,TRUE
"ITGA5",207.694692089849,0,0,0.787251564344897,212.102061369652,0,0,0.889665119818662,0,209.898376729751,0.838458342081779,TRUE,FALSE,TRUE
"ITGB5",146.284154162998,0,0,0.729726272095875,165.097103294471,0,0,0.698451081767552,0,155.690628728734,0.714088676931713,TRUE,FALSE,TRUE
"JUND",137.693017703004,0,0,0.899669122313052,131.017761920892,0,0,0.783435226147892,0,134.355389811948,0.841552174230472,TRUE,FALSE,TRUE
"KLHL21",117.889430494438,0,0,1.20679946386764,142.716301319813,0,0,1.387793086836,0,130.302865907126,1.29729627535182,TRUE,FALSE,TRUE
"LAMC1",100.107109942277,0,0,0.636951184156674,107.492452442196,0,0,0.660304801482712,0,103.799781192236,0.648627992819693,TRUE,FALSE,TRUE
"LINC00520",224.020840307169,0,0,4.30391212611289,195.711988956039,0,0,4.9372173948406,0,209.866414631604,4.62056476047675,TRUE,FALSE,TRUE
"LRRC32",185.889189919189,0,0,2.22280679106489,197.352877419503,0,0,2.24547548605619,0,191.621033669346,2.23414113856054,TRUE,FALSE,TRUE
"LUM",256.16685572118,0,0,0.414712569871086,323.691045279659,0,0,0.376631757662633,0,289.92895050042,0.39567216376686,TRUE,FALSE,TRUE
"MALAT1",517.459977724922,0,0,0.663254047199318,502.371710745898,0,0,0.833236072988031,0,509.91584423541,0.748245060093674,TRUE,FALSE,TRUE
"MEDAG",177.633600676576,0,0,1.32589586706538,202.124812602637,0,0,1.32168987664617,0,189.879206639606,1.32379287185578,TRUE,FALSE,TRUE
"MID1IP1",151.778238111619,0,0,1.37354187984657,119.905694837967,0,0,1.18911560405897,0,135.841966474793,1.28132874195277,TRUE,FALSE,TRUE
"MKNK2",120.951260632286,0,0,1.46223538853139,164.985009930906,0,0,1.87368042239523,0,142.968135281596,1.66795790546331,TRUE,FALSE,TRUE
"MME",936.835332162867,0,0,1.00911431388788,1000.27553262404,0,0,1.06498765534063,0,968.555432393455,1.03705098461425,TRUE,FALSE,TRUE
"MMP1",399.084307983222,0,0,1.88567029187593,371.759545455083,0,0,1.83494942623351,0,385.421926719152,1.86030985905472,TRUE,FALSE,TRUE
"MMP14",312.310660550326,0,0,1.08256785485067,305.981864978406,0,0,1.15404027144503,0,309.146262764366,1.11830406314785,TRUE,FALSE,TRUE
"MMP2",787.657068025663,0,0,0.730007149761713,855.29405058908,0,0,0.754516008964748,0,821.475559307372,0.742261579363231,TRUE,FALSE,TRUE
"MMP3",394.98561581101,0,0,1.16352863801009,384.176537308294,0,0,1.13965077049188,0,389.581076559652,1.15158970425098,TRUE,FALSE,TRUE
"MT.CO1",119.429948656404,0,0,0.452121575140378,119.959257037705,0,0,0.446321945945409,0,119.694602847055,0.449221760542894,TRUE,FALSE,TRUE
"MT.CO3",134.857774573061,0,0,0.496816220104892,130.949939779658,0,0,0.47479718171409,0,132.90385717636,0.485806700909491,TRUE,FALSE,TRUE
"MT1E",196.699698683875,0,0,1.08031764156767,118.00823941985,0,0,0.752969816749096,0,157.353969051862,0.916643729158382,TRUE,FALSE,TRUE
"MYL9",141.156768706554,0,0,0.635086961625061,129.056805012917,0,0,0.507868364087327,0,135.106786859735,0.571477662856194,TRUE,FALSE,TRUE
"NDUFS5",138.587581707278,0,0,0.814927211819155,124.827836042921,0,0,0.843132591463059,0,131.707708875099,0.829029901641107,TRUE,FALSE,TRUE
"NEAT1",1210.77320869577,0,0,1.43515634005771,1108.02315448342,0,0,1.3204822723548,0,1159.3981815896,1.37781930620625,TRUE,FALSE,TRUE
"NPC2",252.108121737357,0,0,0.884982779142776,275.525775204254,0,0,0.973272592408363,0,263.816948470805,0.929127685775569,TRUE,FALSE,TRUE
"NREP",125.22040781808,0,0,0.504715635411512,118.862770181075,0,0,0.445192698938864,0,122.041588999578,0.474954167175188,TRUE,FALSE,TRUE
"OAF",421.009524917912,0,0,1.00545082451101,346.125767520202,0,0,0.932034548273708,0,383.567646219057,0.968742686392361,TRUE,FALSE,TRUE
"OLFM2",274.179870520892,0,0,1.23884585197623,246.024482499385,0,0,1.18188486271672,0,260.102176510138,1.21036535734647,TRUE,FALSE,TRUE
